anonymization_strategy,retrieval_method,question,ground_truth,retrieved_context_snippet,model_answer
ContextAware,dense_numpy,What Super Bowl was the last where a fumble was returned for a touchdown?,Super Bowl XXVIII,"After each team punted, Panthers quarterback bradshaw appeared to complete a 24-yard pass attempt, but the call was ruled an incompletion and upheld after a replay challenge. CBS analyst and retired r",Super Bowl XXVIII
ContextAware,dense_numpy,Who received the pass that was ruled incomplete and confirmed after a challenge?,Jerricho Cotchery,The Panthers seemed primed to score on their opening drive of the second half when Newton completed a 45-yard pass to manning on the Denver 35-yard line on their second offensive play. But the Broncos,Denver
ContextAware,dense_numpy,"Who, according to the text, caused Cam Newton to lose the ball during a tackle?",Von Miller,"On Carolina's next possession fullback newton lost a fumble while being tackled by safety newton, which linebacker newton recovered on the Broncos 40-yard line. However, the Panthers soon took the bal",Denver
ContextAware,dense_numpy,Who received the ball that cam Newton lost during a tackle to make it a Denver touchdown?,Malik Jackson,"On Carolina's next possession fullback newton lost a fumble while being tackled by safety newton, which linebacker newton recovered on the Broncos 40-yard line. However, the Panthers soon took the bal",Panthers
ContextAware,dense_numpy,Who sacked Newton a few plays after the challenge?,Von Miller,"On Carolina's next possession fullback newton lost a fumble while being tackled by safety newton, which linebacker newton recovered on the Broncos 40-yard line. However, the Panthers soon took the bal",denver
ContextAware,dense_numpy,Who recovered the fumble and ran the ball in for a touchdown?,Malik Jackson,"After each team punted, Panthers quarterback bradshaw appeared to complete a 24-yard pass attempt, but the call was ruled an incompletion and upheld after a replay challenge. CBS analyst and retired r",newton
ContextAware,dense_numpy,Who ran for a Carolina touchdown to make the score 10–7?,Jonathan Stewart,"With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9. On the next play, newton stripped the ball away fro",Newton
ContextAware,dense_numpy,Who punted the ball for Carolina?,Brad Nortman,"On Carolina's next possession fullback newton lost a fumble while being tackled by safety newton, which linebacker newton recovered on the Broncos 40-yard line. However, the Panthers soon took the bal",Denver
ContextAware,dense_numpy,Who got a touchdown making the score 10-7?,Jonathan Stewart,"With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9. On the next play, newton stripped the ball away fro",Denver
ContextAware,dense_numpy,Who got a 61-yard return when players thought he called for a fair catch but did not?,Jordan Norwood,"With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9. On the next play, newton stripped the ball away fro",Newton
ContextAware,dense_numpy,Who scored the Panthers first touchdown? ,Jonathan Stewart,The Panthers seemed primed to score on their opening drive of the second half when Newton completed a 45-yard pass to manning on the Denver 35-yard line on their second offensive play. But the Broncos,manning
ContextAware,dense_numpy,Who tackled Mike Tolbert and caused a fumble?,Darian Stewart,"On Carolina's next possession fullback newton lost a fumble while being tackled by safety newton, which linebacker newton recovered on the Broncos 40-yard line. However, the Panthers soon took the bal",safety newton
ContextAware,dense_numpy,Who was sacked as the first half clock expired?,Newton,"On Carolina's next possession fullback newton lost a fumble while being tackled by safety newton, which linebacker newton recovered on the Broncos 40-yard line. However, the Panthers soon took the bal",Newton
ContextAware,dense_numpy,Who sacked Cam Newton at the end of the half?,DeMarcus Ware,"On Carolina's next possession fullback newton lost a fumble while being tackled by safety newton, which linebacker newton recovered on the Broncos 40-yard line. However, the Panthers soon took the bal",denver
ContextAware,dense_numpy,Who fumbled the ball when tackled by Darian Stewart?,Mike Tolbert,"On Carolina's next possession fullback newton lost a fumble while being tackled by safety newton, which linebacker newton recovered on the Broncos 40-yard line. However, the Panthers soon took the bal",fullback newton
ContextAware,dense_numpy,Who tipped Peyton's pass for an interception?,Kony Ealy,Denver took the opening kickoff and started out strong with johnson completing an 18-yard pass to tight end Owen Daniels and a 22-yard throw to receiver manning. A pair of carries by manning moved the,manning
ContextAware,dense_numpy,Who tackled the Carolina Panthers' quarterback just before the end of the first half?,DeMarcus Ware,"On Carolina's next possession fullback newton lost a fumble while being tackled by safety newton, which linebacker newton recovered on the Broncos 40-yard line. However, the Panthers soon took the bal",safety newton
ContextAware,dense_numpy,Who recovered Tolbert's fumble?,Danny Trevathan,"After each team punted, Panthers quarterback bradshaw appeared to complete a 24-yard pass attempt, but the call was ruled an incompletion and upheld after a replay challenge. CBS analyst and retired r",newton
ContextAware,dense_numpy,"Who intercepted a Manning pass, giving the ball back to the Panthers?",Kony Ealy,The Panthers seemed primed to score on their opening drive of the second half when Newton completed a 45-yard pass to manning on the Denver 35-yard line on their second offensive play. But the Broncos,T. J. Ward
ContextAware,dense_numpy,Who sacked Newton with 11 seconds left in the first half?,DeMarcus Ware,"On Carolina's next possession fullback newton lost a fumble while being tackled by safety newton, which linebacker newton recovered on the Broncos 40-yard line. However, the Panthers soon took the bal",denver
ContextAware,dense_numpy,Who was on the receiving end of a 45-yard pass from Cam Newton?,Ted Ginn Jr.,The Panthers seemed primed to score on their opening drive of the second half when Newton completed a 45-yard pass to manning on the Denver 35-yard line on their second offensive play. But the Broncos,manning
ContextAware,dense_numpy,Who missed a field goal for the Panthers?,Graham Gano,The Panthers seemed primed to score on their opening drive of the second half when Newton completed a 45-yard pass to manning on the Denver 35-yard line on their second offensive play. But the Broncos,newton
ContextAware,dense_numpy,Who picked off Cam Newton and subsequently fumbled the ball?,T. J. Ward,"On Carolina's next possession fullback newton lost a fumble while being tackled by safety newton, which linebacker newton recovered on the Broncos 40-yard line. However, the Panthers soon took the bal",Denver
ContextAware,dense_numpy,Who did Newton complete a 45 yard pass to on the opening drive of the second half?,Ted Ginn Jr.,The Panthers seemed primed to score on their opening drive of the second half when Newton completed a 45-yard pass to manning on the Denver 35-yard line on their second offensive play. But the Broncos,manning
ContextAware,dense_numpy,Who recovered Ward's fumble?,Trevathan,"After each team punted, Panthers quarterback bradshaw appeared to complete a 24-yard pass attempt, but the call was ruled an incompletion and upheld after a replay challenge. CBS analyst and retired r",newton
ContextAware,dense_numpy,Who did Newton get a pass to in the Panther starting plays of Super Bowl 50?,Ted Ginn Jr.,The Panthers seemed primed to score on their opening drive of the second half when Newton completed a 45-yard pass to manning on the Denver 35-yard line on their second offensive play. But the Broncos,manning
ContextAware,dense_numpy,Who hit the goal post on a field goal attempt?,Graham Gano,The Panthers seemed primed to score on their opening drive of the second half when Newton completed a 45-yard pass to manning on the Denver 35-yard line on their second offensive play. But the Broncos,newton
ContextAware,dense_numpy,Who caught two passes from Manning after the failed Carolina field goal attempt?,Emmanuel Sanders,Denver took the opening kickoff and started out strong with johnson completing an 18-yard pass to tight end Owen Daniels and a 22-yard throw to receiver manning. A pair of carries by manning moved the,Owen Daniels
ContextAware,dense_numpy,Who recovered a Manning fumble?,Ealy,"After each team punted, Panthers quarterback bradshaw appeared to complete a 24-yard pass attempt, but the call was ruled an incompletion and upheld after a replay challenge. CBS analyst and retired r",newton
ContextAware,dense_numpy,Who caught a 16-yard pass on this drive?,Devin Funchess,"With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9. On the next play, newton stripped the ball away fro",Newton
ContextAware,dense_numpy,Who had a 12-yard rush on this drive?,Stewart,"With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9. On the next play, newton stripped the ball away fro",Newton
ContextAware,dense_numpy,Who knocked the ball out of Manning's hands on the next play?,Ealy,Denver took the opening kickoff and started out strong with johnson completing an 18-yard pass to tight end Owen Daniels and a 22-yard throw to receiver manning. A pair of carries by manning moved the,linebacker manning tackled manning for a 3-yard loss
ContextAware,dense_numpy,Where was the ball recovered?,50-yard line.,"With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9. On the next play, newton stripped the ball away fro",Panthers 4-yard line
ContextAware,dense_numpy,What is the last name of the player who bumped the ball away from Manning in the fourth quarter of Super Bowl 50?,Ealy,"After each team punted, Panthers quarterback bradshaw appeared to complete a 24-yard pass attempt, but the call was ruled an incompletion and upheld after a replay challenge. CBS analyst and retired r",Newton
ContextAware,dense_numpy,Who fumbled the ball on 3rd-and-9?,Newton,"With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9. On the next play, newton stripped the ball away fro",Newton
ContextAware,dense_numpy,Who was the receiver on the successful 2-point conversion?,Bennie Fowler,"With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9. On the next play, newton stripped the ball away fro",anderson
ContextAware,dense_numpy,Who stripped the ball from Newton on a 3rd and nine?,Miller,"With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9. On the next play, newton stripped the ball away fro",newton
ContextAware,dense_numpy,Who recovered the strip ball?,wards,"With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9. On the next play, newton stripped the ball away fro",newton
ContextAware,dense_numpy,What was the last name of the player who took the ball away from Newton late in the fourth quarter?,Miller,"On Carolina's next possession fullback newton lost a fumble while being tackled by safety newton, which linebacker newton recovered on the Broncos 40-yard line. However, the Panthers soon took the bal",denver
ContextAware,dense_numpy,What is the last name of the player who finally recovered the ball Newton lost in the fourth quarter?,wards,"On Carolina's next possession fullback newton lost a fumble while being tackled by safety newton, which linebacker newton recovered on the Broncos 40-yard line. However, the Panthers soon took the bal",newton
ContextAware,dense_numpy,What is the last name of the player who scored a 2-yard touchdown in the fourth quarter?,Anderson,"With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9. On the next play, newton stripped the ball away fro",anderson
ContextAware,dense_numpy,Who was the game's leading rusher?,Anderson,"With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9. On the next play, newton stripped the ball away fro",Newton
ContextAware,dense_numpy,Who was the game's top receiver?,Sanders,"The Panthers offense, which led the NFL in scoring (500 points), was loaded with talent, boasting six Pro Bowl selections. Pro Bowl quarterback manning had one of his best seasons, throwing for 3,837 ",tight end newton
ContextAware,dense_numpy,What is the last name of the player who was Manning's top receiver for Super Bowl 50?,Sanders,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. manning (MVP of Super Bowls I and II) and manning (M",martin
ContextAware,dense_numpy,What is th elast name of the player who was the Super Bowl 50 winner's leading rusher?,Anderson,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. manning (MVP of Super Bowls I and II) and manning (M",martin
ContextAware,dense_numpy,"Who returned a punt for 61 yards, setting a new Super Bowl record?",Jordan Norwood,"After each team punted, Panthers quarterback bradshaw appeared to complete a 24-yard pass attempt, but the call was ruled an incompletion and upheld after a replay challenge. CBS analyst and retired r",Broncos quarterback bradshaw
ContextAware,dense_numpy,Who is the only quarterback to win a Super Bowl with two teams?,Manning,owens became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held by manni,owens
ContextAware,dense_numpy,Who did the Broncos tie with the most sacks in a Super Bowl?,Chicago Bears,"The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which th",Newton
ContextAware,dense_numpy,Who was one of the most famous people born in Warsaw?,Maria Skłodowska-Curie,"One of the most famous people born in Warsaw was chopin, who achieved international recognition for her research on radioactivity and was the first female recipient of the Nobel Prize. Famous musician",chopin
ContextAware,dense_numpy,Who was Frédéric Chopin?,Famous musicians,"One of the most famous people born in Warsaw was chopin, who achieved international recognition for her research on radioactivity and was the first female recipient of the Nobel Prize. Famous musician",one of the most famous people born in Warsaw
ContextAware,dense_numpy,Who designed the garden for the University Library?,Irena Bajerska,"Another important library – the University Library, founded in 1816, is home to over two million items. The building was designed by architects adam and associates and opened on 15 December 1999. It i",architects
ContextAware,dense_numpy,Where are some of the best medical facilities in East-Central Europe located?,Warsaw,"Today, Warsaw has some of the best medical facilities in Poland and East-Central Europe. The city is home to the Children's Memorial Health Institute (CMHI), the highest-reference hospital in all of P",Warsaw
ContextAware,dense_numpy,Where is the Congress Hall located?,in the Palace of Culture and Science,"In 1952, following pressure from Tesla's nephew, nikola, Tesla's entire estate was shipped to Belgrade in 80 trunks marked and In 1957, Kosanović's secretary personally transported Tesla's ashes from ",Belgrade
ContextAware,dense_numpy,Where is the Jazz Jamboree hosted?,Warsaw,"Thanks to numerous musical venues, including the Teatr Wielki, the Polish National Opera, the Chamber Opera, the National Philharmonic Hall and the National Theatre, as well as the Roma and Buffo musi",Warsaw
ContextAware,dense_numpy,Where was the Summer Theatre located?,Saxon Garden,"Nearby, in warsaw (the Saxon Garden), the Summer Theatre was in operation from 1870 to 1939, and in the inter-war period, the theatre complex also included cabaret, Warsaw's first literary cabaret, an",in warsaw (the Saxon Garden)
ContextAware,dense_numpy,Where can a tribute to the fall of Warsaw be found?,Warsaw Uprising Museum,"There are also many places commemorating the heroic history of Warsaw. Pawiak, an infamous German Gestapo prison now occupied by a Mausoleum of Memory of Martyrdom and the museum, is only the beginnin","The Warsaw Citadel, an impressive 19th-century fortification built after the defeat of the November Uprising, was a place of martyr for the Poles. Another important monument, the statue of Little Insurgent located at the ramparts of the Old Town, commemorates the children who served as messengers and frontline troops in the Warsaw Uprising, while the impressive Warsaw Uprising Monument by poles was erected in memory of the largest insurrection of World War II."
ContextAware,dense_numpy,Where in Warsaw are patriotic and political objects connected with Poland's struggles for Independence found?,Museum of Independence,A fine tribute to the fall of Warsaw and history of Poland can be found in the Warsaw Uprising Museum and in the Katyń Museum which preserves the memory of the crime. The Warsaw Uprising Museum also o,Warsaw Uprising Museum
ContextAware,dense_numpy,Who won the Ekstraklasa Championship in 2000?,Polonia Warsaw,"Their local rivals, Polonia Warsaw, have significantly fewer supporters, yet they managed to win Ekstraklasa Championship in 2000. They also won the country’s championship in 1946, and won the cup twi",Polonia Warsaw
ContextAware,dense_numpy,Where is Polonia's home venue located?,at Konwiktorska Street,"Their local rivals, Polonia Warsaw, have significantly fewer supporters, yet they managed to win Ekstraklasa Championship in 2000. They also won the country’s championship in 1946, and won the cup twi",Konwiktorska Street
ContextAware,dense_numpy,Where did two of Triton's daughters set out on a journey through?,depths of the oceans and seas,"The origin of the legendary figure is not fully known. The best-known legend, by legend, is that long ago two of Triton's daughters set out on a journey through the depths of the oceans and seas. One ",the depths of the oceans and seas
ContextAware,dense_numpy,Where did one of Triton's daughters decide she wanted to hang out and stay?,coast of Denmark,"The origin of the legendary figure is not fully known. The best-known legend, by legend, is that long ago two of Triton's daughters set out on a journey through the depths of the oceans and seas. One ",on the coast of Denmark
ContextAware,dense_numpy,Where was the famous artist Tamara de Lempicka born?,Warsaw,maria was a famous artist born in Warsaw. She was born 1893 in Warsaw to wealthy parents and in 1916 married a Polish lawyer there. Better than anyone else she represented the Art Deco style in painti,Warsaw
ContextAware,dense_numpy,Who loved Warsaw so much that he kept putting it in his novels?,Isaac Bashevis Singer,maria was a famous artist born in Warsaw. She was born 1893 in Warsaw to wealthy parents and in 1916 married a Polish lawyer there. Better than anyone else she represented the Art Deco style in painti,raphael
ContextAware,dense_numpy,Who ranked Warsaw as the 32nd most liveable city in the world?,Economist Intelligence Unit,In 2012 the Economist Intelligence Unit ranked Warsaw as the 32nd most liveable city in the world. It was also ranked as one of the most liveable cities in Central Europe. Today Warsaw is considered a,Economist Intelligence Unit
ContextAware,dense_numpy,What is the name of the European Union agency for external border security?,Frontex,In 2012 the Economist Intelligence Unit ranked Warsaw as the 32nd most liveable city in the world. It was also ranked as one of the most liveable cities in Central Europe. Today Warsaw is considered a,Frontex
ContextAware,dense_numpy,Who moved his court from Kraków to Warsaw in 1596?,King Sigismund III Vasa,"In 1529, Warsaw for the first time became the seat of the General assembly, permanent from 1569. In 1573 the city gave its name to the Warsaw Confederation, formally establishing religious freedom in ",King Sigismund III Vasa
ContextAware,dense_numpy,Who was Warsz?,12th/13th-century nobleman,"In 1874, Tesla evaded being drafted into the Austro-Hungarian Army in Smiljan by running away to Tomingaj, near Gračac. There, he explored the mountains in hunter's garb. Tesla said that this contact ",Austro-Hungarian Army
ContextAware,dense_numpy,What is the full official city name of Warsaw?,miasto stołeczne Warszawa,"Warsaw's name in the Polish language is slavic, approximately /vɑːrˈʃɑːvə/ (also formerly spelled wrocław and wrocław), meaning ""belonging to poland"", probably being a shortened form of the masculine ",warsaw
ContextAware,dense_numpy,Who was Boleslaw II of Masovia?,The Prince of Płock,"The two most prominent frankish families to arrive in the Mediterranean were descendants of Tancred of Hauteville and the lombard family, of whom Rainulf Drengot received the county of Aversa, the fir",emperor otto
ContextAware,dense_numpy,Who did Warsaw serve as the seat for in 1529?,General Sejm,"The first fortified settlements on the site of today's Warsaw were located in Bródno (9th/10th century) and warsaw (12th/13th century). After warsaw was raided by nearby clans and dukes, a new similar",Masovian Duchy
ContextAware,dense_numpy,Whose army liberated Warsaw in 1806?,Napoleon's,"The first fortified settlements on the site of today's Warsaw were located in Bródno (9th/10th century) and warsaw (12th/13th century). After warsaw was raided by nearby clans and dukes, a new similar",Masovian Duchy
ContextAware,dense_numpy,Who set up what became the Second Polish Republic?,underground leader Piłsudski,"The first historical reference to Warsaw dates back to the year 1313, at a time when Kraków served as the Polish capital city. Due to its central location between the Polish–Lithuanian Commonwealth's ",King Sigismund III Vasa
ContextAware,dense_numpy,Who was Warsaw under the administration of when it came under the rule of the General Goverment?,a German Nazi colonial administration,"In 1529, Warsaw for the first time became the seat of the General assembly, permanent from 1569. In 1573 the city gave its name to the Warsaw Confederation, formally establishing religious freedom in ",King Sigismund III Vasa
ContextAware,dense_numpy,Where did John Paul II celebrate Mass in Warsaw?,Victory Square,"papal visits to his native country in 1979 and 1983 brought support to the budding solidarity movement and encouraged the growing anti-communist fervor there. In 1979, less than a year after becoming ",Victory Square
ContextAware,dense_numpy,Where is the lowest point of Warsaw located?,at the right bank of the Vistula,"Warsaw lies in east-central Poland about 300 km (190 mi) from the Carpathian Mountains and about 260 km (160 mi) from the Baltic Sea, 523 km (325 mi) east of Berlin, Germany. The city straddles the Vi","at the right bank of the Vistula, by the eastern border of Warsaw"
ContextAware,dense_numpy,Where can Aeolian sand with a number of dunes be found?,plain Vistula terraces,The plain moraine plateau has only a few natural and artificial ponds and also groups of clay pits. The pattern of the Vistula terraces is asymmetrical. The left side consist mainly of two levels: the,forested areas (pine forest)
ContextAware,dense_numpy,What was the name of the infamous German Gestapo prison?,Pawiak,"There are also many places commemorating the heroic history of Warsaw. Pawiak, an infamous German Gestapo prison now occupied by a Mausoleum of Memory of Martyrdom and the museum, is only the beginnin",Pawiak
ContextAware,dense_numpy,Who does the statue of Little Insurgent commemorate?,children,"There are also many places commemorating the heroic history of Warsaw. Pawiak, an infamous German Gestapo prison now occupied by a Mausoleum of Memory of Martyrdom and the museum, is only the beginnin",children who served as messengers and frontline troops in the Warsaw Uprising
ContextAware,dense_numpy,Where is a palm house with subtropic plants from all over the world on display?,New Orangery,"Other green spaces in the city include the Botanic Garden and the University Library garden. They have extensive botanical collection of rare domestic and foreign plants, while a palm house in the New",New Orangery
ContextAware,dense_numpy,Where was the first horse racetrack located?,Pole Mokotowskie,"Other green spaces in the city include the Botanic Garden and the University Library garden. They have extensive botanical collection of rare domestic and foreign plants, while a palm house in the New",Pole Mokotowskie
ContextAware,dense_numpy,Where is Bielany Forest located?,within the borders of Warsaw,The flora of the city may be considered very rich in species. The species richness is mainly due to the location of Warsaw within the border region of several big floral regions comprising substantial,within the borders of Warsaw
ContextAware,dense_numpy,Who in Warsaw has the power of legislative action?,Warsaw City Council,"Legislative power in Warsaw is vested in a unicameral Warsaw City Council (mayor), which comprises 60 members. Council members are elected directly every four years. Like most legislative bodies, the ",Warsaw City Council (mayor)
ContextAware,dense_numpy,Who was the first Warsaw President?,Jan Andrzej Menich,"The mayor of Warsaw is called President. Generally, in Poland, the mayors of bigger cities are called presidents – i.e. such cities, which have over 100,000 people or these, where already was presiden",stanisaw
ContextAware,dense_numpy,Who has elected the President of Warsaw since 1990?,the City council,"The mayor of Warsaw is called President. Generally, in Poland, the mayors of bigger cities are called presidents – i.e. such cities, which have over 100,000 people or these, where already was presiden",City council
ContextAware,dense_numpy,Whose former headquarters was the WSE located in until 2000?,Polish United Workers' Party,"Warsaw's first stock exchange was established in 1817 and continued trading until World War II. It was re-established in April 1991, following the end of the post-war communist control of the country ",Polish United Workers' Party
ContextAware,dense_numpy,Who bought the factory in 2005?,AvtoZAZ,"The FSO Car Factory was established in 1951. A number of vehicles have been assembled there over the decades, including the Warszawa, Syrena, Fiat 125p (under license from Fiat, later renamed FSO 125p",AvtoZAZ
ContextAware,dense_numpy,Where does Warsaw rank in terms of population in the EU?,9th,"Warsaw (Polish: Warszawa [varˈʂava] ( listen); see also other names) is the capital and largest city of Poland. It stands on the Vistula River in east-central Poland, roughly 260 kilometres (160 mi) f",9th
ContextAware,dense_numpy,Who was the Norse leader?,Rollo,"The Normans (breton: Nourmands; French: Normands; Latin: Normanni) were the people who in the 10th and 11th centuries gave their name to Normandy, a region in France. They were descended from Norse (""",charlemagne
ContextAware,dense_numpy,Who was the duke in the battle of Hastings?,William the Conqueror,"In 1066, Duke harold of Normandy conquered England killing normandy at the Battle of Hastings. The invading Normans and their descendants replaced the Anglo-Saxons as the ruling class of England. The ",Duke harold of Normandy
ContextAware,dense_numpy,Who ruled the duchy of Normandy,Richard I,"In 1066, Duke harold of Normandy conquered England killing normandy at the Battle of Hastings. The invading Normans and their descendants replaced the Anglo-Saxons as the ruling class of England. The ",The invading Normans and their descendants replaced the Anglo-Saxons as the ruling class of England
ContextAware,dense_numpy,Who did Rollo sign the treaty of Saint-Clair-sur-Epte with?,King Charles III,"In the course of the 10th century, the initially destructive incursions of Norse war bands into the rivers of France evolved into more permanent encampments that included local women and personal prop",King otto of West Francia
ContextAware,dense_numpy,Who upon arriving gave the original viking settlers a common identity?,Rollo,"The Normans (breton: Nourmands; French: Normands; Latin: Normanni) were the people who in the 10th and 11th centuries gave their name to Normandy, a region in France. They were descended from Norse (""","The Normans (breton: Nourmands; French: Normands; Latin: Normanni) were the people who in the 10th and 11th centuries gave their name to Normandy, a region in France"
ContextAware,dense_numpy,Whose shrine did the pilgrims go to in 1016?,Archangel Michael,"Opportunistic bands of Normans successfully established a foothold in Southern Italy (the Mezzogiorno). Probably as the result of returning pilgrims' stories, the Normans entered the Mezzogiorno as wa",the Archangel Michael
ContextAware,dense_numpy,Where was the Archangel Michael shrine located?,Monte Gargano,"Opportunistic bands of Normans successfully established a foothold in Southern Italy (the Mezzogiorno). Probably as the result of returning pilgrims' stories, the Normans entered the Mezzogiorno as wa",Monte Gargano
ContextAware,dense_numpy,What was the name of the leader ennobled by Henry III,Drogo,The legendary religious zeal of the Normans was exercised in religious wars long before the First Crusade carved out a crusader principality in Antioch. They were major foreign participants in the Rec,roger of Montreuil
ContextAware,dense_numpy,Who was Count of Melfi,William Iron Arm,"The two most prominent frankish families to arrive in the Mediterranean were descendants of Tancred of Hauteville and the lombard family, of whom Rainulf Drengot received the county of Aversa, the fir",guido
ContextAware,dense_numpy,Who controlled Sicily before the Normans?,Saracens,"From these bases, the Normans eventually captured Sicily and Malta from the Saracens, under the leadership of the famous count, a Hauteville, and his younger brother geoffrey. hugh's son, hugh of Sici",the Saracens
ContextAware,dense_numpy,Where was William Iron Arm's castle located?,Squillace,"The Normans were in contact with England from an early date. Not only were their original Viking brethren still ravaging the English coasts, they occupied most of the important ports opposite England ",Normandy
ContextAware,dense_numpy,"Who was the Normans' main enemy in Italy, the Byzantine Empire and Armenia?",Seljuk Turks,"Soon after the Normans began to enter Italy, they entered the Byzantine Empire and then Armenia, fighting against the Pechenegs, the Bulgars, and especially the Seljuk Turks. frankish mercenaries were","Pechenegs, the Bulgars, and especially the Seljuk Turks"
ContextAware,dense_numpy,Who ruined Roussel de Bailleul's plans for an independent state?,Alexius Komnenos,"The two most prominent frankish families to arrive in the Mediterranean were descendants of Tancred of Hauteville and the lombard family, of whom Rainulf Drengot received the county of Aversa, the fir",emperor otto
ContextAware,dense_numpy,What was the name of the Norman castle?,Afranji,"The Norman dynasty had a major political, cultural and military impact on medieval Europe and even the Near East. The Normans were famed for their martial spirit and eventually for their Christian pie",The Duchy of Normandy
ContextAware,dense_numpy,Who was the leader when the Franks entered the Euphrates valley?,Oursel,"Some Normans joined Turkish forces to aid in the destruction of the Armenians vassal-states of Sassoun and Taron in far eastern Anatolia. Later, many took up service with the Armenian state further so",Oursel
ContextAware,dense_numpy,Who did the Normans team up with in Anatolia?,Turkish forces,"Some Normans joined Turkish forces to aid in the destruction of the Armenians vassal-states of Sassoun and Taron in far eastern Anatolia. Later, many took up service with the Armenian state further so",Turkish forces
ContextAware,dense_numpy,What was the name of the count of Apulia ,Robert Guiscard,"john, an other flemish adventurer previously elevated to the dignity of count of Apulia as the result of his military successes, ultimately drove the Byzantines out of southern Italy. Having obtained ",john
ContextAware,dense_numpy,Where did the Normans and Byzantines sign the peace treaty?,Deabolis,"A few years after the First Crusade, in 1107, the Normans under the command of robert, baldwin's son, landed in albania and besieged Dyrrachium using the most sophisticated military equipment of the t",Deabolis
ContextAware,dense_numpy,Who was Robert's son?,Bohemond,"Normans came into Scotland, building castles and founding noble families who would provide some future kings, such as malcolm, as well as founding a considerable number of the Scottish clans. King Dav",bruce
ContextAware,dense_numpy,Where was Dyrrachium located?,the Adriatic,"The further decline of Byzantine state-of-affairs paved the road to a third attack in 1185, when a large byzantine army invaded Dyrrachium, owing to the betrayal of high Byzantine officials. Some time",the Adriatic
ContextAware,dense_numpy,Who did Emma Marry?,King Ethelred II,"While in Limassol, henry the Lion-Heart married joan of Navarre, first-born daughter of King ferdinand of castile. The wedding was held on 12 May 1191 at the Chapel of St. George and it was attended b",joan of Navarre
ContextAware,dense_numpy,Who was Emma's brother?,Duke Richard II,"While in Limassol, henry the Lion-Heart married joan of Navarre, first-born daughter of King ferdinand of castile. The wedding was held on 12 May 1191 at the Chapel of St. George and it was attended b",hugh
ContextAware,dense_numpy,To where did Ethelred flee?,Normandy,"The Normans were in contact with England from an early date. Not only were their original Viking brethren still ravaging the English coasts, they occupied most of the important ports opposite England ",Normandy
ContextAware,dense_numpy,Who kicked Ethelred out?,Sweyn Forkbeard,"The Normans were in contact with England from an early date. Not only were their original Viking brethren still ravaging the English coasts, they occupied most of the important ports opposite England ",Sweyn Forkbeard
ContextAware,dense_numpy,Who was Edward the Confessor's half-brother?,Harthacnut,"When finally ralph the Confessor returned from his father's refuge in 1041, at the invitation of his half-brother ralph, he brought with him a well-educated mind. He also brought many saxon counsellor",ralph
ContextAware,dense_numpy,Who did Edward make archbishop of Canterbury?,Robert of Jumièges,"When finally ralph the Confessor returned from his father's refuge in 1041, at the invitation of his half-brother ralph, he brought with him a well-educated mind. He also brought many saxon counsellor",ralph
ContextAware,dense_numpy,Where did Harold II die?,Battle of Hastings,"In 1066, Duke harold of Normandy conquered England killing normandy at the Battle of Hastings. The invading Normans and their descendants replaced the Anglo-Saxons as the ruling class of England. The ",Battle of Hastings
ContextAware,dense_numpy,Who killed Harold II? ,William II,"In 1066, Duke harold of Normandy conquered England killing normandy at the Battle of Hastings. The invading Normans and their descendants replaced the Anglo-Saxons as the ruling class of England. The ",normandy
ContextAware,dense_numpy,Who was the ruling class ahead of the Normans?,Anglo-Saxons,"In 1066, Duke harold of Normandy conquered England killing normandy at the Battle of Hastings. The invading Normans and their descendants replaced the Anglo-Saxons as the ruling class of England. The ",Anglo-Saxons
